"MATERIAL","LANGU","TXTMD"
"000000000020000339","E","(Do not use) Hạt màu điều"
"000000000020000340","E","(Do not use) Hạt nêm ga Aji-ngon"
"000000000020000341","E","(Do not use) Ngò rí"
"000000000020000342","E","Cà chua"
"000000000020000343","E","(Do not use) Rong biển"
"000000000020000344","E","Khổ qua trái nhỏ"
"000000000020000345","E","(Do not use) Thính gạo"
"000000000020000346","E","(Do not use) Bì cắt sợi"
"000000000020000347","E","(Do not use) Rau muống cọng"
"000000000020000348","E","(Do not use) Củ cải trắng"
"000000000020000349","E","(Do not use) Trứng gà NL"
"000000000020000350","E","(Do not use) Gạo tấm"
"000000000020000351","E","(Do not use) Hoa đậu biếc"
"000000000020000352","E","(Do not use) Nước mắm Hồng Hạnh 20 độ đạ"
"000000000020000353","E","(Do not use) Dưa leo"
"000000000020000354","E","(Do not use) Lá dứa"
"000000000020000355","E","(Do not use) Củ cải trắng, cà rốt cắt sẵ"
"000000000020000356","E","(Do not use) Bột chanh"
"000000000020000357","E","(Do not use) Sate tôm pet 450g"
"000000000020000358","E","(Do not use) Lá húng quế"
"000000000020000359","E","(Do not use) Ớt sừng"
"000000000020000360","E","Tari K217"
"000000000020000361","E","(Do not use) (DO NOT USE) Bột quế"
"000000000020000362","E","Bột quế"
"000000000020000363","E","(Do not use) Cà rốt cắt sợi 1mm"
"000000000020000364","E","(Do not use) Giá sống"
"000000000020000365","E","(Do not use) Khoai môn cắt sợi 1mm"
"000000000020000366","E","(Do not use) Khoai tây, cà rốt, su su cắ"
"000000000020000367","E","Lá lốt"
"000000000020000368","E","(Do not use) Rau thơm hỗn hợp"
"000000000020000369","E","(Do not use) Su hào"
"000000000020000370","E","(Do not use) Xà lách lolo xanh"
"000000000020000371","E","(Do not use) Đậu phộng rang 500gr"
"000000000020000372","E","Hương nước mắm SC1090327"
"000000000020000373","E","Nước mắm Hương Giang 20N"
"000000000020000374","E","Chiết xuất nấm men Ohly FLAV-R-OUND LS"
"000000000020000375","E","Hương mỡ bò GIV AA-472-320-7"
"000000000020000376","E","(Do not use) Hương mực IFF SC325425"
"000000000020000377","E","(Do not use) Pepsi chai 1.5l"
"000000000020000378","E","Nạc đùi bò lóc gân tươi VN NL"
"000000000020000379","E","Nạc vai bò lóc gân tươi VN NL"
"000000000020000380","E","Mỡ bò tươi VN NL"
"000000000020000381","E","NLTP Sunplus M3"
"000000000020000382","E","Vụn bò tươi VN NL"
"000000000020000383","E","(Do not use) Xốt mayonnaise dành cho đầu"
"000000000020000384","E","(Do not use) Phụ phẩm gà nguyên liệu G3"
"000000000020000385","E","(Do not use) Ớt chuông xanh"
"000000000020000386","E","Dịch thịt bò gia vị GF7-3"
"000000000020000387","E","Heo thịt từ 80kg đến dưới 90kg"
"000000000020000388","E","Heo thịt từ 90kg đến dưới 120kg"
"000000000020000389","E","Heo thịt từ 120kg trở lên"
"000000000020000390","E","NLTP Polygint G7"
"000000000020000391","E","PGTP sorbic acid"
